Top_RGB_Cluster,Representative_Color,Bottom_RGB_List
0,"(108, 126, 135)","[(84, 91, 95), (79, 101, 74), (40, 42, 40), (99, 118, 119)]"
1,"(39, 44, 40)","[(70, 65, 51), (28, 33, 31), (94, 110, 105), (119, 114, 117), (191, 22, 24), (79, 83, 79), (172, 163, 146)]"
2,"(168, 168, 177)","[(62, 58, 36), (56, 57, 59)]"
3,"(72, 77, 73)","[(44, 46, 42), (114, 103, 74), (36, 47, 55), (69, 73, 67), (88, 89, 95), (36, 40, 46), (39, 39, 37), (73, 75, 67)]"
4,"(211, 212, 206)","[(35, 44, 51), (34, 33, 26)]"
5,"(10, 25, 19)","[(56, 42, 24), (46, 53, 46)]"
6,"(105, 107, 90)","[(159, 166, 175), (160, 164, 165), (64, 72, 80)]"
7,"(161, 156, 137)","[(7, 12, 13), (20, 31, 35), (168, 168, 163), (61, 74, 90), (176, 164, 152)]"
8,"(66, 65, 51)","[(90, 101, 100), (144, 128, 108), (146, 113, 72), (78, 85, 80)]"
9,"(186, 190, 183)","[(59, 65, 67), (24, 24, 23), (74, 104, 124), (57, 83, 109), (14, 19, 14)]"
10,"(54, 90, 121)","[(77, 95, 101), (52, 71, 80)]"
11,"(117, 132, 166)","[(39, 47, 56), (103, 121, 133)]"
12,"(136, 136, 135)","[(59, 60, 54), (195, 194, 187), (53, 61, 57), (121, 124, 124), (25, 31, 30)]"
13,"(90, 84, 69)","[(50, 69, 70), (98, 98, 100), (29, 31, 31)]"
14,"(29, 33, 32)","[(54, 63, 68), (21, 23, 19), (45, 50, 48), (30, 37, 33), (66, 74, 70), (73, 75, 79), (70, 70, 58), (25, 43, 87), (56, 55, 50), (38, 41, 38), (23, 28, 28), (95, 110, 118)]"
15,"(43, 54, 54)","[(152, 147, 119), (140, 132, 119), (54, 54, 48), (20, 21, 17), (126, 125, 124), (96, 90, 79), (101, 104, 107), (108, 109, 109), (24, 35, 31), (39, 43, 43)]"
16,"(135, 112, 89)","[(25, 29, 24), (162, 138, 108), (74, 79, 76), (52, 59, 67)]"
17,"(153, 160, 155)","[(67, 70, 53), (112, 101, 82), (43, 43, 48), (24, 29, 27), (85, 84, 70), (104, 113, 101)]"
18,"(88, 92, 94)","[(49, 66, 56), (36, 44, 41), (61, 64, 61)]"
19,"(52, 70, 78)","[(55, 58, 45), (51, 60, 65), (167, 189, 184), (56, 64, 45)]"
20,"(182, 179, 164)","[(61, 61, 60), (157, 161, 152), (17, 27, 40), (55, 59, 57), (85, 68, 57)]"
21,"(190, 45, 75)","[(125, 172, 192)]"
22,"(80, 24, 23)","[(110, 97, 74)]"
23,"(28, 35, 44)","[(142, 148, 146), (57, 60, 62), (135, 141, 141), (145, 155, 159)]"
24,"(121, 123, 115)","[(54, 55, 47), (16, 22, 19), (30, 32, 28), (92, 92, 78), (142, 127, 106), (59, 63, 61), (64, 66, 64), (58, 74, 82), (166, 167, 158)]"
25,"(20, 24, 20)","[(112, 114, 109), (113, 116, 103), (54, 58, 56), (43, 50, 53), (54, 56, 54), (152, 100, 95), (67, 64, 53), (150, 168, 174), (123, 128, 122), (119, 124, 117), (150, 153, 147), (106, 111, 105), (181, 178, 160), (35, 36, 37), (86, 78, 61)]"
26,"(204, 197, 183)","[(88, 74, 68)]"
