TOP_RGB,BOTTOM_RGB
"(134, 133, 124)","(42, 49, 40)"
"(69, 68, 68)","(99, 107, 100)"
"(74, 67, 62)","(147, 162, 148)"
"(30, 73, 70)","(81, 71, 60)"
"(85, 89, 90)","(125, 143, 143)"
"(113, 124, 130)","(147, 151, 148)"
"(51, 53, 47)","(61, 72, 66)"
"(71, 74, 67)","(27, 35, 39)"
"(41, 44, 46)","(95, 107, 107)"
"(80, 67, 53)","(61, 76, 95)"
"(60, 75, 91)","(160, 156, 148)"
"(11, 14, 11)","(130, 122, 106)"
"(63, 79, 81)","(20, 25, 30)"
"(175, 178, 176)","(134, 128, 112)"
"(123, 120, 104)","(11, 20, 21)"
"(73, 79, 77)","(44, 46, 42)"
"(148, 152, 146)","(47, 50, 44)"
"(135, 122, 111)","(43, 51, 67)"
"(167, 172, 167)","(115, 136, 145)"
"(99, 96, 75)","(94, 96, 73)"
"(19, 23, 19)","(112, 114, 109)"
"(188, 192, 202)","(52, 81, 125)"
"(54, 59, 58)","(41, 45, 44)"
"(37, 48, 45)","(103, 112, 110)"
"(82, 85, 85)","(97, 101, 99)"
"(68, 70, 74)","(21, 25, 22)"
"(31, 36, 35)","(54, 63, 68)"
"(152, 143, 121)","(194, 173, 136)"
"(53, 56, 54)","(137, 131, 118)"
"(28, 34, 44)","(142, 148, 146)"
"(157, 139, 125)","(119, 141, 148)"
"(38, 45, 42)","(70, 65, 51)"
"(20, 24, 23)","(113, 116, 103)"
"(32, 44, 58)","(29, 45, 57)"
"(61, 64, 58)","(128, 130, 125)"
"(18, 23, 26)","(67, 71, 72)"
"(37, 42, 39)","(36, 42, 42)"
"(22, 26, 24)","(30, 35, 35)"
"(50, 50, 49)","(80, 97, 102)"
"(115, 129, 138)","(93, 113, 124)"
"(123, 116, 102)","(91, 67, 37)"
"(25, 29, 30)","(134, 137, 132)"
"(117, 130, 153)","(94, 112, 118)"
"(80, 24, 23)","(110, 97, 74)"
"(48, 40, 36)","(33, 57, 68)"
"(157, 137, 117)","(195, 196, 192)"
"(73, 39, 23)","(118, 96, 83)"
"(45, 56, 51)","(152, 147, 119)"
"(63, 62, 58)","(75, 79, 75)"
"(101, 95, 79)","(35, 42, 41)"
"(28, 36, 34)","(21, 23, 19)"
"(88, 85, 81)","(60, 62, 65)"
"(80, 81, 78)","(69, 70, 69)"
"(175, 178, 182)","(78, 88, 95)"
"(172, 178, 179)","(162, 165, 157)"
"(40, 45, 49)","(114, 120, 121)"
"(22, 25, 23)","(54, 58, 56)"
"(24, 29, 35)","(155, 163, 174)"
"(142, 139, 124)","(91, 97, 95)"
"(8, 25, 48)","(64, 84, 96)"
"(72, 66, 61)","(39, 44, 44)"
"(49, 49, 45)","(35, 39, 36)"
"(40, 47, 52)","(109, 128, 143)"
"(14, 20, 15)","(94, 113, 126)"
"(19, 29, 23)","(36, 41, 38)"
"(136, 126, 118)","(91, 91, 90)"
"(18, 23, 30)","(58, 67, 68)"
"(94, 96, 97)","(197, 191, 173)"
"(152, 143, 128)","(72, 82, 83)"
"(33, 37, 28)","(29, 38, 39)"
"(30, 65, 116)","(133, 152, 159)"
"(79, 77, 71)","(117, 114, 100)"
"(34, 20, 14)","(86, 72, 54)"
"(40, 45, 41)","(28, 33, 31)"
"(145, 153, 156)","(25, 33, 36)"
"(39, 50, 67)","(62, 77, 84)"
"(157, 160, 155)","(67, 70, 53)"
"(64, 41, 19)","(78, 74, 52)"
"(123, 121, 115)","(54, 55, 47)"
"(198, 197, 188)","(128, 122, 109)"
"(23, 30, 49)","(171, 156, 127)"
"(28, 29, 31)","(93, 91, 85)"
"(167, 169, 179)","(62, 58, 36)"
"(21, 25, 25)","(103, 99, 80)"
"(179, 182, 170)","(30, 38, 39)"
"(66, 99, 137)","(48, 54, 63)"
"(62, 30, 42)","(100, 103, 100)"
"(67, 70, 74)","(134, 143, 141)"
"(86, 108, 70)","(189, 197, 204)"
"(73, 82, 78)","(31, 39, 40)"
"(178, 185, 188)","(112, 125, 116)"
"(79, 80, 82)","(97, 124, 142)"
"(93, 86, 73)","(50, 69, 70)"
"(71, 61, 47)","(84, 82, 79)"
"(96, 101, 91)","(71, 75, 72)"
"(57, 58, 57)","(43, 45, 41)"
"(14, 18, 22)","(142, 157, 169)"
"(44, 27, 17)","(158, 147, 127)"
"(40, 45, 44)","(31, 37, 37)"
"(38, 43, 43)","(145, 148, 147)"
"(30, 30, 32)","(45, 50, 48)"
"(101, 106, 97)","(30, 36, 40)"
"(53, 55, 55)","(75, 94, 101)"
"(23, 28, 30)","(62, 77, 90)"
"(188, 189, 181)","(59, 65, 67)"
"(190, 45, 75)","(125, 172, 192)"
"(23, 29, 23)","(12, 17, 12)"
"(67, 66, 63)","(54, 68, 73)"
"(206, 211, 214)","(112, 131, 140)"
"(68, 61, 53)","(90, 101, 100)"
"(12, 21, 25)","(31, 42, 49)"
"(111, 124, 137)","(84, 91, 95)"
"(151, 162, 165)","(22, 32, 39)"
"(78, 81, 79)","(59, 69, 74)"
"(103, 101, 95)","(99, 116, 123)"
"(30, 35, 33)","(30, 37, 33)"
"(71, 76, 83)","(32, 49, 70)"
"(81, 85, 85)","(152, 151, 150)"
"(59, 52, 48)","(164, 160, 147)"
"(88, 89, 96)","(49, 66, 56)"
"(17, 23, 22)","(117, 126, 127)"
"(34, 40, 52)","(152, 159, 159)"
"(30, 31, 27)","(97, 106, 103)"
"(17, 22, 24)","(56, 73, 84)"
"(30, 30, 25)","(44, 45, 33)"
"(201, 195, 171)","(128, 153, 155)"
"(36, 41, 55)","(100, 103, 104)"
"(112, 100, 89)","(53, 70, 77)"
"(137, 140, 136)","(109, 126, 138)"
"(25, 29, 32)","(87, 94, 104)"
"(67, 72, 70)","(57, 65, 66)"
"(192, 191, 194)","(194, 197, 191)"
"(37, 42, 45)","(113, 122, 119)"
"(61, 72, 79)","(109, 132, 137)"
"(51, 59, 63)","(40, 48, 47)"
"(24, 27, 26)","(81, 83, 69)"
"(74, 77, 72)","(114, 103, 74)"
"(121, 121, 116)","(16, 22, 19)"
"(98, 99, 96)","(122, 143, 149)"
"(174, 163, 151)","(86, 89, 81)"
"(51, 52, 48)","(94, 100, 99)"
"(36, 43, 46)","(167, 181, 209)"
"(194, 198, 182)","(75, 103, 130)"
"(61, 62, 54)","(144, 136, 109)"
"(27, 39, 57)","(168, 164, 156)"
"(17, 23, 24)","(5, 8, 7)"
"(23, 27, 23)","(14, 21, 18)"
"(102, 80, 56)","(77, 88, 92)"
"(172, 167, 148)","(155, 155, 144)"
"(176, 186, 187)","(180, 187, 155)"
"(101, 108, 87)","(159, 166, 175)"
"(10, 25, 43)","(152, 133, 114)"
"(173, 175, 163)","(22, 59, 111)"
"(123, 137, 140)","(122, 125, 126)"
"(55, 62, 53)","(14, 17, 15)"
"(180, 177, 146)","(42, 43, 40)"
"(67, 87, 100)","(158, 160, 160)"
"(19, 27, 19)","(43, 50, 53)"
"(122, 129, 112)","(30, 32, 28)"
"(136, 140, 135)","(59, 60, 54)"
"(30, 33, 33)","(66, 74, 70)"
"(40, 46, 43)","(25, 29, 33)"
"(40, 44, 46)","(184, 175, 182)"
"(107, 105, 102)","(34, 35, 36)"
"(51, 57, 55)","(161, 161, 153)"
"(76, 82, 66)","(91, 94, 91)"
"(20, 25, 26)","(207, 211, 207)"
"(106, 126, 135)","(79, 101, 74)"
"(93, 124, 146)","(152, 131, 30)"
"(48, 52, 48)","(172, 172, 169)"
"(116, 136, 145)","(37, 40, 40)"
"(58, 62, 60)","(21, 24, 26)"
"(59, 60, 64)","(154, 168, 175)"
"(148, 163, 167)","(164, 147, 117)"
"(70, 79, 75)","(36, 47, 55)"
"(60, 78, 82)","(183, 185, 174)"
"(187, 195, 192)","(6, 18, 11)"
"(27, 34, 31)","(73, 75, 79)"
"(26, 31, 38)","(112, 110, 102)"
"(49, 53, 49)","(118, 138, 139)"
"(90, 112, 120)","(133, 107, 96)"
"(56, 67, 70)","(42, 44, 47)"
"(33, 39, 36)","(93, 93, 94)"
"(21, 25, 24)","(90, 108, 118)"
"(50, 56, 58)","(126, 112, 103)"
"(88, 93, 91)","(36, 44, 41)"
"(56, 69, 69)","(33, 36, 33)"
"(55, 61, 60)","(89, 88, 81)"
"(84, 87, 83)","(188, 191, 193)"
"(17, 23, 16)","(119, 123, 125)"
"(99, 118, 125)","(47, 49, 46)"
"(35, 40, 39)","(61, 59, 55)"
"(26, 32, 34)","(170, 162, 141)"
"(152, 114, 102)","(51, 65, 76)"
"(16, 28, 33)","(32, 38, 40)"
"(168, 173, 169)","(40, 43, 41)"
"(25, 28, 25)","(67, 95, 115)"
"(162, 175, 184)","(184, 185, 174)"
"(143, 155, 153)","(52, 55, 52)"
"(204, 213, 209)","(145, 147, 143)"
"(82, 82, 77)","(83, 83, 70)"
"(39, 45, 37)","(94, 110, 105)"
"(49, 63, 62)","(32, 35, 32)"
"(49, 39, 35)","(202, 204, 191)"
"(58, 53, 44)","(181, 178, 160)"
"(158, 158, 147)","(205, 202, 190)"
"(79, 85, 86)","(90, 86, 73)"
"(84, 96, 98)","(71, 71, 71)"
"(39, 45, 42)","(119, 114, 117)"
"(201, 197, 196)","(128, 119, 104)"
"(149, 150, 139)","(107, 106, 99)"
"(31, 34, 29)","(70, 70, 58)"
"(183, 190, 182)","(24, 24, 23)"
"(153, 154, 153)","(50, 63, 53)"
"(46, 52, 51)","(85, 27, 33)"
"(186, 181, 184)","(147, 161, 167)"
"(87, 118, 135)","(24, 29, 30)"
"(104, 104, 100)","(137, 135, 135)"
"(115, 119, 119)","(57, 59, 57)"
"(130, 134, 131)","(29, 31, 30)"
"(67, 73, 68)","(33, 46, 66)"
"(154, 145, 132)","(159, 163, 157)"
"(155, 163, 156)","(112, 101, 82)"
"(147, 134, 109)","(7, 29, 66)"
"(12, 38, 29)","(165, 154, 144)"
"(116, 117, 108)","(87, 94, 94)"
"(163, 168, 160)","(129, 132, 129)"
"(30, 44, 50)","(47, 57, 54)"
"(63, 71, 67)","(44, 50, 48)"
"(63, 66, 63)","(67, 76, 95)"
"(129, 150, 167)","(57, 60, 57)"
"(70, 80, 91)","(189, 185, 175)"
"(109, 112, 106)","(137, 127, 116)"
"(176, 170, 159)","(36, 38, 37)"
"(39, 41, 31)","(86, 80, 70)"
"(95, 75, 65)","(25, 27, 25)"
"(178, 183, 180)","(159, 172, 176)"
"(158, 173, 175)","(55, 52, 49)"
"(135, 137, 135)","(195, 194, 187)"
"(34, 37, 32)","(91, 59, 36)"
"(60, 63, 54)","(42, 55, 76)"
"(94, 102, 99)","(58, 62, 63)"
"(62, 66, 69)","(57, 49, 37)"
"(135, 134, 123)","(94, 93, 76)"
"(68, 77, 75)","(69, 73, 67)"
"(64, 74, 75)","(46, 45, 44)"
"(55, 53, 49)","(56, 53, 45)"
"(84, 110, 117)","(27, 37, 41)"
"(64, 67, 65)","(54, 58, 56)"
